PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Activity_Score,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.00132 uM,Activity at 0.00295 uM,Activity at 0.00635 uM,Activity at 0.015 uM,Activity at 0.029 uM,Activity at 0.033 uM,Activity at 0.074 uM,Activity at 0.159 uM,Activity at 0.369 uM,Activity at 0.794 uM,Activity at 1.840 uM,Activity at 3.690 uM,Activity at 4.120 uM,Activity at 9.220 uM,Activity at 19.84 uM,Activity at 46.10 uM,Activity at 92.20 uM,Compound QC
1053,57256264,5024171,CC1=C(C=C(C=C1)C(=O)OCC2=C(C=CC(=C2)C(=O)C)OC)S(=O)(=O)N3CCOCC3,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS002170606-01/135605343,,Inactive,,,,0,,,1.031,0.9457,7,-1.9059,4,0 0 0 0 0 0 0,5.6974,,-2.8382,,-0.8112,,,-1.5451,,-1.4655,,-0.2485,,,1.719,,5.6974,,QC'd by Enamine
1054,57256352,2715851,CC1=C(C=C(C=C1)C(=O)OCC2=CC=C(C=C2)C(=O)OC)S(=O)(=O)N3CCCCC3,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS002164962-01/135604000,,Inactive,,,,0,,,,,,,4,,0.4844,,-1.038,,-2.8369,,,-0.4385,,-1.7318,,-0.4762,,,-1.1647,,0.4844,,QC'd by Enamine
1055,57257114,2379107,CCOC1=C(C=CC=N1)C(=O)NC2=CC=C(C=C2)S(=O)(=O)NC3=NC(=CC(=N3)C)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS002165768-01/135604363,,Inactive,,,,0,,,1.6436,0.9499,8,-1.9305,4,0 0 0 0 0 0 0,6.2194,,-2.8588,,-1.972,,,-1.8326,,-1.9706,,-0.3126,,,0.1905,,6.2194,,QC'd by Enamine
1056,57258242,18113115,CC1=C(OC2=C1C=CC=C2Cl)C(=O)N(C)CCOC3=CC=CC=C3,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS002180930-01/135606018,,Inactive,,,,0,,,4.095,0.9767,12,-1.3349,4,0 0 0 0 0 0 0,11.513,,-1.7028,,-2.3624,,,0.0934,,-1.2383,,-1.0468,,,-0.8628,,11.513,,QC'd by UrkORgSynthesis Ltd
1057,57258254,16573896,CC1=C(OC2=CC=CC=C12)C(=O)NCC(C3=CC=C(C=C3)OC)N4CCCC4,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS002182583-01/135605441,,Inactive,,,,0,,,,,,,4,,-0.4884,,-2.7471,,-2.2323,,,-1.9899,,-1.4647,,-1.2686,,,-1.6106,,-0.4884,,QC'd by UrkORgSynthesis Ltd
1058,57258320,25162375,CC1(C(=O)N(C(=O)N1)CC(=O)NNC(=O)C2=CC=CC=C2F)C3=CC=CC=C3,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS002182678-01/135604800,,Inactive,,,,0,,,,,,,4,,-0.7056,,-0.5763,,-2.8563,,,0.3457,,-1.1242,,-0.8638,,,-0.7283,,-0.7056,,QC'd by UrkORgSynthesis Ltd
1059,57258326,25162380,CCN(CC)S(=O)(=O)C1=C(C=CC(=C1)NC(=O)C2=CC=CC=C2OCC3=C(ON=C3C)C)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS002180979-01/135605110,,Inactive,,,,0,,,,,,,4,,1.9305,,-1.572,,-2.6955,,,-0.3093,,-1.3592,,-0.9201,,,-0.968,,1.9305,,QC'd by UrkORgSynthesis Ltd
1060,57259813,9504182,CC(C)N1C2=C(C=N1)C(=CC(=N2)C3CC3)C(=O)NC4=CC=C(C=C4)NC(=O)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS002170997-01/135605061,,Inactive,,,,0,,,0.5,0.9151,4,-2.5935,4,0 0 0 0 0 0 0,2.1763,,-2.9946,,-2.1742,,,-1.3091,,-2.1595,,-0.4412,,,0.0885,,2.1763,,QC'd by Enamine
1061,57259974,16330387,CC(C)N1C(=NN=N1)SCC(=O)N2C(CC(=N2)C3=CC=CS3)C4=CC=CS4,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS002158888-01/135604922,,Inactive,,,,0,,,,,,,4,,-0.3551,,-1.3385,,-2.9819,,,-0.1593,,-1.807,,-1.1837,,,-1.1222,,-0.3551,,QC'd by Enamine
1062,57260053,4312940,CC1CCCC(C1C)NC(=O)COC2=C(N=C(C=C2)C)[N+](=O)[O-],Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS002171369-01/135605334,,Inactive,,,,0,,,2.3531,0.9165,8,-1.7328,4,0 0 0 0 0 0 0,6.5867,,-1.6722,,-3.1106,,,-0.0032,,-1.8798,,-1.2424,,,-0.5511,,6.5867,,QC'd by Enamine
1063,57260525,16308243,C1COCCN1S(=O)(=O)C2=CC=CC(=C2)NC(=O)COC3=CC=CC=C3CC4=CC=CC=C4,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS002163678-01/135605158,,Inactive,,,,0,,,1.8579,0.8998,5.5,-0.5545,4,0 0 0 0 0 0 0,4.017,,-1.1364,,-1.7121,,,-0.0037,,-0.6431,,-0.078,,,0.2042,,4.017,,QC'd by Enamine
1064,57261510,16295166,COC1=C(C=C(C=C1)C(=O)N2CCC3=CC(=C(C=C3C2)OC)OC)S(=O)(=O)N4CCCC4,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS002156279-01/135604262,,Inactive,,,,0,,,3.2975,0.8544,4.5,-1.1793,4,0 0 0 0 0 0 0,4.1407,,-1.2164,,-2.6494,,,0.1226,,-1.0481,,-0.7162,,,-0.6974,,4.1407,,QC'd by Enamine
1065,57263626,4845131,CCOC(=O)C1=C(NC(=O)NC1C)COC(=O)C2=C(C=CC(=C2)S(=O)(=O)N3CCOCC3)F,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS002161400-01/135605563,,Inactive,,,,0,,,3.2975,0.9912,23,-2.3253,4,0 0 0 0 0 0 0,20.6958,,-3.6045,,-2.3758,,,-2.4881,,-2.3356,,-0.7956,,,-1.2352,,20.6958,,QC'd by Enamine
1066,57263768,16344665,CC(C1=CC=CC=N1)NC(=O)C(CC2=CC=CC=C2)NS(=O)(=O)C3=C(C=CC(=C3)NC(=O)C)OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS002169251-01/135605718,,Inactive,,,,0,,,,,,,4,,-0.833,,-1.8974,,-3.1341,,,-0.2561,,-1.8941,,-1.2751,,,-1.2351,,-0.833,,QC'd by Enamine
1067,57264202,4786309,CCOC(=O)C1=C(NC(=C1C(=O)COC(=O)C2=C(C=CS2)C)C)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS002156577-01/135605034,,Inactive,,,,0,,,,,,,4,,0.5044,,-1.6461,,-1.8869,,,0.2191,,-1.1789,,0.3032,,,-0.469,,0.5044,,QC'd by Enamine
1068,57264509,2735510,C[N+](C)(C)CC=O.[Cl-],Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS002153203-01/135605531,,Inactive,,,,0,,,,,,,4,,-0.9681,,-3.0168,,-1.9356,,,-1.8236,,-1.3157,,-0.8982,,,-1.2441,,-0.9681,,QC'd by Sigma Chemical Company
1069,57264520,2082890,CC1=C(OC2=C1C=C(C=C2)Br)C(=O)NC3=CC4=C(C=C3)OCCO4,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS002159038-01/135603997,,Inactive,,,,0,,,2.0937,0.7749,3,-1.8572,4,0 0 0 0 0 0 0,2.231,,-3.2143,,-1.516,,,-1.6799,,-1.6589,,-0.419,,,-0.9974,,2.231,,QC'd by Enamine
1070,57264665,4825665,C1=COC(=C1)C2=NC(=C(O2)NCCCN3C=CN=C3)S(=O)(=O)C4=CC=C(C=C4)Br,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS002162387-01/135604161,,Inactive,,,,0,,,,,,,4,,0.2672,,-2.911,,-1.527,,,-1.5432,,-1.7397,,-0.0147,,,-0.7319,,0.2672,,QC'd by Enamine
1071,57265899,2614659,COC1=C(C=C(C=C1)Cl)C(=O)OCC(=O)NC2=C(N=CC=C2)Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS002166623-01/135605895,,Inactive,,,,0,,,2.0937,0.7748,2.5,-1.8977,4,0 0 0 0 0 0 0,1.7698,,-3.248,,-2.3545,,,-1.3752,,-2.0923,,-0.7226,,,-1.2969,,1.7698,,QC'd by Enamine
1072,57266573,25163044,CC1=CC=C(C=C1)CNC2=C(C=C(C=C2)[N+](=O)[O-])C(=O)N,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS002178106-01/135603903,,Inactive,,,,0,,,2.6384,0.8967,5.5,-1.9404,4,0 0 0 0 0 0 0,4.761,,-3.2837,,-2.0102,,,-2.118,,-1.8783,,-0.3258,,,-1.0875,,4.761,,QC'd by Elizabeth A Amin - Univ. of Minnesota - MLI PSL
1073,57267179,25163278,C1=CC=C(C=C1)C(=O)CCC(=O)NCC2=CC(=CC=C2)C(F)(F)F,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS002182619-01/135604863,,Inactive,,,,0,,,,,,,4,,-0.9266,,-2.7795,,-1.7985,,,-0.2931,,-2.0618,,-0.4938,,,-0.8832,,-0.9266,,QC'd by UrkORgSynthesis Ltd
1074,7964718,135466645,CCN1C(=O)C2=CC=CC=C2N=C1SCC3=NC4=CC=CC=C4C(=O)N3,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000114777-01/135605769,,Inactive,,,,0,,,2.0937,0.7871,4,-2.3967,4,0 0 0 0 0 0 0,3.0451,,-3.6639,,-2.1797,,,-2.3897,,-2.5046,,-0.1765,,,-1.3866,,3.0451,,QC'd by Chem Div
1075,7966078,5308002,C1CN(CC2=CC=CC=C21)C3=NC4=CC=CC=C4N5C3=NN=C5,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000119009-01/135605243,,Inactive,,,,0,,,4.045,0.9742,15.5,-1.3722,4,0 0 0 0 0 0 0,15.0465,,-2.8102,,-1.4224,,,-1.675,,-1.7309,,0.5757,,,-0.4104,,15.0465,,QC'd by Chem Div
1076,7967526,646061,C1C(SC2=CC=CC=C2NC1=O)C3=CC=C(C=C3)F,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000114528-01/135604216,,Inactive,,,,0,,,0.6,0.6535,4,-1.0992,4,0 0 0 0 0 0 0,2.4978,,-0.7951,,-2.5827,,,0.097,,-0.2127,,0.0836,,,-0.1714,,2.4978,,QC'd by Chem Div
1077,7968064,899250,CC(C)CC1=CC2=C(C(=N1)NC(=O)C)C(=O)OC3=CC=CC=C32,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000114651-01/135605652,,Inactive,,,,0,,,,,,,4,,-0.3143,,-1.4325,,-2.7281,,,1.3858,,-1.4584,,-0.8808,,,-0.708,,-0.3143,,QC'd by Chem Div
1078,7969154,712173,CC1=C(SC=N1)CCSC2=NC3=CC=CC=C3C(=O)N2C,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000115836-01/135606177,,Inactive,,,,0,,,2.0937,0.9753,11.5,-1.8884,4,0 0 0 0 0 0 0,9.2751,,-2.8237,,-2.1637,,,-1.7564,,-1.8261,,-0.524,,,0.2441,,9.2751,,QC'd by Chem Div
1079,7969898,700087,CC(=C)CSC1=NC2=C(N1CC3=CC=CC=C3)C(=O)NC(=O)N2C,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000103115-01/135606025,,Inactive,,,,0,,,1.6924,0.9341,9.5,-2.3589,4,0 0 0 0 0 0 0,6.8057,,-4.0491,,-2.6231,,,-2.577,,-2.2263,,-0.7493,,,-0.4891,,6.8057,,QC'd by Life Chemicals
1080,7970142,2939098,CCN(C1=CC=CC=C1)C2=NC=NC3=C2C=NN3C4=CC=CC=C4,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000100849-01/135603555,,Inactive,,,,0,,,2.0437,0.9373,10,-2.4188,4,0 0 0 0 0 0 0,7.2166,,-4.099,,-2.9883,,,-2.5211,,-1.3894,,-1.3322,,,-1.1524,,7.2166,,QC'd by Life Chemicals
1081,7970662,5310273,COC1=C(C=C(C=C1)CCNC(=O)CCN2C3=CC=CC=C3OC2=O)OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000102028-01/135605413,,Inactive,,,,0,,,,,,,4,,0.8074,,-2.6845,,-1.2764,,,-1.1926,,-1.4059,,-0.0266,,,0.68,,0.8074,,QC'd by Life Chemicals
1082,7970765,646025,CCCSC1=NC2=C(N1CCC3=CC=CC=C3)C(=O)NC(=O)N2C,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000100694-01/135605796,,Inactive,,,,0,,,2.0937,0.6644,3,-1.3187,4,0 0 0 0 0 0 0,2.4726,,-1.457,,-2.7656,,,0.5238,,-1.4319,,-0.5952,,,-0.3,,2.4726,,QC'd by Life Chemicals
1083,7970866,22860,C1=CC=C(C=C1)COC2=CC=C(C=C2)N,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000100541-01/135604776,,Inactive,,,,0,,,,,,,4,,-1.3321,,-1.8708,,-2.8025,,,-0.7007,,-2.0748,,-1.5327,,,-1.5446,,-1.3321,,QC'd by Life Chemicals
1084,7970937,5310351,CC1=CC(=CC=C1)N2C3=NC(=NC(=C3NC2=O)C(=O)N)C4=C(C=C(C=C4)OC)OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000102673-01/135604741,,Inactive,,,,0,,,1.6436,0.9843,23.5,-2.1127,4,0 0 0 0 0 0 0,17.2353,,-3.0106,,-2.1446,,,-1.8777,,-2.1521,,0.1782,,,1.8944,,17.2353,,QC'd by Life Chemicals
1085,7971994,842497,COC1=C(C=CC(=C1)SC)C(=O)NC2CCCCC2,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000110949-01/135603875,,Inactive,,,,0,,,,,,,4,,0.2153,,-1.2952,,-0.8355,,,-0.3155,,-1.5301,,0.0511,,,0.0232,,0.2153,,QC'd by ChemBridge
1086,7972483,759953,CCOC(=O)C1=C(SC=C1CC(C)C)NC=O,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000113429-01/135605693,,Inactive,,,,0,,,2.6384,0.9847,21,-2.1587,4,0 0 0 0 0 0 0,18.5556,,-3.0489,,-2.5634,,,-2.2512,,-1.7418,,-0.0453,,,0.1972,,18.5556,,QC'd by ChemBridge
1087,7972971,777949,CCOC1=CC=C(C=C1)C(=O)C2=NC3=C(N2O)CCCC3,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000112741-01/135605911,,Inactive,,,,0,,,,,,,4,,-0.7932,,-3.3937,,-2.1893,,,-2.2968,,-1.2903,,-0.8279,,,-0.856,,-0.7932,,QC'd by DPISMR
1088,7973131,867980,CCN1C(=O)C2=C(N=C1SCC(=O)OC)SC3=C2CCC3,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000107880-01/135605722,,Inactive,,,,0,,,3.2975,0.8662,4,-0.8728,4,0 0 0 0 0 0 0,3.7242,,-0.6059,,-2.394,,,-0.0915,,-0.8602,,-0.8709,,,-0.5748,,3.7242,,QC'd by DPISMR
1089,7973233,803153,CCOC1=CC=C(C=C1)C(=O)NC2=CC=NC=C2,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000107298-01/135604824,,Inactive,,,,0,,,,,,,4,,-0.7765,,-1.4465,,-3.042,,,-0.67,,-1.9047,,-0.6951,,,-0.938,,-0.7765,,QC'd by DPISMR
1090,7973585,2836301,CC1C2=CC(=C(C=C2CCN1C(=O)C3COC4=CC=CC=C4O3)OC)OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000104643-01/135605293,,Inactive,,,,0,,,,,,,4,,1.6627,,-3.2349,,-2.0702,,,-1.6624,,0.181,,-0.6314,,,-0.8878,,1.6627,,QC'd by DPISMR
1091,7973819,625794,C1OC2=C(O1)C=C(C=C2)C3=NN=C4N3C5=CC=CC=C5C=C4,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000108280-01/135604182,,Inactive,,,,0,,,4.095,0.8275,4,-1.8928,4,0 0 0 0 0 0 0,4.0446,,-1.3772,,-3.6607,,,-0.2594,,-1.8474,,-1.7387,,,-1.0937,,4.0446,,QC'd by ChemBridge
1092,7974483,2294488,COC1=C(C=C(C=C1)C2=NN=C(O2)COC3=CC4=CC=CC=C4C=C3)OC,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000112045-01/135603863,,Activator,18.3564,34.2311,,10,Single point of activity,-4.7362,4.045,0.9962,32,-2.2311,3,0 0 0 0 0 0 0,31.3297,,-3.5259,,-1.5959,,,-1.9767,,-2.0954,,-1.028,,,-0.1466,,31.3297,,QC'd by ChemBridge
1093,7975031,2877576,CCOC(=O)C1=CC2=C3C(=C(N=C2C=C1)C)CC(O3)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000108862-01/135604265,,Inactive,,,,0,,,2.3531,0.9051,5.5,-1.5498,4,0 0 0 0 0 0 0,4.7656,,-2.9582,,-1.086,,,-1.4994,,-1.4963,,-0.3913,,,-0.6007,,4.7656,,QC'd by ChemBridge
1094,7975297,2909522,C1=CC=C(C=C1)CN(C2=CC=CC=N2)C(=O)C3=CC=C(O3)Br,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000111832-01/135605585,,Inactive,,,,0,,,,,,,4,,-0.6125,,-3.0518,,-2.024,,,-1.426,,-1.8272,,0.0158,,,-1.2963,,-0.6125,,QC'd by ChemBridge
1095,7975394,938245,COC1=CC=C(C=C1)N2CCN(CC2)C(=O)CSC3=CC=CC=C3,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000112259-01/135604841,,Inactive,,,,0,,,3.5722,0.9842,27,-0.8248,4,0 0 0 0 0 0 0,24.8017,,-3.1873,,-1.9313,,,0.3995,,-0.0659,,-0.3952,,,0.2995,,24.8017,,QC'd by DPISMR
1096,7975415,750773,COC1=C(C=C(C=C1)C2=NN=C(O2)C3=CN=CC=C3)OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000106396-01/135604231,,Inactive,,,,0,,,0.6,0.9389,5,-2.2115,4,0 0 0 0 0 0 0,2.9829,,-2.6763,,-1.7309,,,-1.8549,,-1.5584,,-0.116,,,0.1275,,2.9829,,QC'd by DPISMR
1097,7975513,867499,CC1=NC(=NC(=N1)N(C)C(=O)C)C2=CC=CC=C2OC(=O)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000106776-01/135603526,,Inactive,,,,0,,,4.9549,0.873,6,-1.2358,4,0 0 0 0 0 0 0,4.2819,,-1.5848,,-2.6965,,,0.0263,,-1.8158,,-1.2996,,,-1.2912,,4.2819,,QC'd by DPISMR
1098,7975687,2172338,COCCN1C=C(C(C(=C1)C(=O)OC)C2=CC(=C(C(=C2)Br)OC)OC)C(=O)OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000113982-01/135603949,,Inactive,,,,0,,,,,,,4,,-0.4204,,-3.1394,,-2.1746,,,-1.6067,,-1.8097,,-0.8275,,,-0.7008,,-0.4204,,QC'd by ChemBridge
1099,7976835,827787,CC(C)COC(=O)C1=CC(=O)NC2=CC=CC=C21,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000113422-01/135606082,,Inactive,,,,0,,,,,,,4,,0.5708,,-0.24,,-2.7087,,,-0.1098,,-1.1955,,-0.8354,,,-1.1283,,0.5708,,QC'd by ChemBridge
1100,7977280,3144344,CC1=C(SC(=N1)C)C2=CSC(=N2)NC3=C(C=CC(=C3)OC)OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000110542-01/135604249,,Inactive,,,,0,,,3.2975,0.9951,24,-1.3226,4,0 0 0 0 0 0 0,21.7163,,-1.5881,,-1.7217,,,-1.9355,,-1.7275,,-0.1076,,,-0.2047,,21.7163,,QC'd by ChemBridge
1101,7977889,1068733,CCOC(=O)C1=C(N(C2=CC(=C(C=C21)C(=O)OC)Br)C)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000104366-01/135606164,,Inactive,,,,0,,,2.3531,0.9857,25,-1.6475,4,0 0 0 0 0 0 0,19.6211,,-0.7961,,-3.4562,,,-0.5146,,-2.009,,-1.3006,,,0.4469,,19.6211,,QC'd by DPISMR
1102,7978116,1277944,CN(C)S(=O)(=O)C1=CC=C(C=C1)C(=O)NC2=CC=C(C=C2)OCC(=O)N3CCOCC3,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000113491-01/135603517,,Inactive,,,,0,,,,,,,4,,-0.6678,,-2.9314,,-0.8971,,,-1.683,,-2.176,,-0.9025,,,-1.9032,,-0.6678,,QC'd by ChemBridge
1103,7978121,2175572,CC1=CC(=CC=C1)OCCSC2=NC(=NC(=C2)C)N,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000113592-01/135604202,,Inactive,,,,0,,,,,,,4,,1.8426,,-1.7652,,-2.9528,,,-0.3009,,-1.5282,,-1.4069,,,-0.5648,,1.8426,,QC'd by ChemBridge
1104,7978265,796420,C1=CSC(=C1)C2=CC=C(S2)C=NC3=CC=C(C=C3)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000106248-01/135605906,,Inactive,,,,0,,,4.9549,0.7433,4,-1.6523,4,0 0 0 0 0 0 0,2.6879,,-1.918,,-3.4602,,,-0.0401,,-1.4732,,-1.5667,,,-2.0725,,2.6879,,QC'd by DPISMR
1105,842249,644509,CC(C)CCN1C2=C(N=C1SC(C)C(=O)OC)N(C(=O)NC2=O)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000072042-01/135603673,,Inactive,,,,0,,-4.6862,3.6772,0.9959,30.5,-1.2864,4,0 0 0 0 0 0 0,29.1107,,-2.7387,,-1.5394,,,-1.3542,,-1.4158,,-0.2724,,,0.3536,,29.1107,,QC'd by Asinex Ltd.
1106,842792,645065,CC1=CC(=CC=C1)NC2=NC3=C(N2CC4=CC=CC=C4)C(=O)N(C(=O)N3C)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000072212-01/135603736,,Inactive,,,,0,,,,,,,4,,1.4984,,-1.2401,,-2.754,,,-0.2299,,-1.4988,,-0.8238,,,-0.4686,,1.4984,,QC'd by DPISMR
1107,842914,645186,CCCCCCN1C2=C(N=C1SCC(C)C)N(C(=O)NC2=O)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000077296-01/135605474,,Inactive,,,,0,,,2.6384,0.9852,15,-1.1247,4,0 0 0 0 0 0 0,12.0714,,-1.4067,,-2.1872,,,-0.1165,,-1.2397,,-1.1987,,,-0.1748,,12.0714,,QC'd by DPISMR
1108,843146,645424,COC1=C(C=C(C=C1)CC2=NOC(=N2)C3=CC(=C(C=C3)OC)OC)OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000071830-01/135604394,,Inactive,,,,0,,,2.5884,0.8861,9.5,-0.5392,4,0 0 0 0 0 0 0,7.1434,,-1.2111,,-2.5327,,,0.836,,-0.9417,,0.0609,,,-0.0812,,7.1434,,QC'd by DPISMR
1109,843215,645499,CC(C(=O)OC)SC1=NC2=C(N1CCCC3=CC=CC=C3)C(=O)NC(=O)N2C,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000073605-01/135603567,,Inactive,,,,0,,,2.9523,0.979,14.5,-1.5093,4,0 0 0 0 0 0 0,13.2205,,-2.9244,,-1.6588,,,-1.8083,,-1.9064,,-0.1904,,,-0.3128,,13.2205,,QC'd by Asinex Ltd.
1110,843275,645556,C1CC2=C(N3C(=NC=N3)N=C2C1)NC4=CC=CC=C4,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000075703-01/135605496,,Inactive,,,,0,,,1.6436,0.8345,6.5,-1.4736,4,0 0 0 0 0 0 0,4.211,,-1.3258,,-2.8946,,,0.1664,,-1.4346,,-0.7658,,,-0.3147,,4.211,,QC'd by DPISMR
1111,844105,646414,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=C(C=C2)N(C)C)C(=O)OC,Inconclusive,21,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000073530-01/135604951,,Activator,12.9953,42.2094,,21,Partial curve; partial efficacy,-4.8862,1.7137,0.9932,41.4922,-0.7171,2.2,0 0 0 0 0 0 0,37.2473,,-0.9015,,-1.8476,,,-1.4817,,1.8615,,0.1163,,,14.6505,,37.2473,,QC'd by Asinex Ltd.
1112,844316,646636,C1CN(CCC12OCCO2)C3=NC=NC4=C3N=NN4CC5=CC=CC=C5,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000076164-01/135603836,,Inactive,,,,0,,,,,,,4,,-0.2883,,-1.6789,,-2.5226,,,-0.0654,,-1.1615,,-0.6677,,,-1.1554,,-0.2883,,QC'd by Asinex Ltd.
1113,844590,646916,C1CN(CCN1C2=NC=CC=N2)C(=O)NC3=CC(=CC=C3)Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000069127-01/135605121,,Inactive,,,,0,,,,,,,4,,-0.8889,,-3.3575,,-2.0165,,,-2.1501,,-1.9141,,-0.7005,,,-1.0267,,-0.8889,,QC'd by DPISMR
